replaced_word target_word
街歩き 町歩き
飲み歩き 呑み歩き
山登り 登山
2ちゃん 2ch
2ちゃん  2ちゃんねる
2ちゃん  2chまとめサイト
読書  本が好き
仏像  仏閣
神社  寺社
カフェ 喫茶店
アニメ アニメ映画
ラジオ TBSラジオ
ダイビング スキューバダイビング
山登り クライミング
野球 サード
野球 捕手
野球 遊撃手
野球 内野手
野球 外野手
野球 レフト
学生 学生さん
しょうが  生姜
犬 ワンコ
犬 ワンちゃん
犬 愛犬
猫 猫ちゃん
コーヒー  珈琲
ご飯  ごはん
たばこ 愛煙家
お酒  酒好き
たばこ 煙草
大学  近大
大学  久留米大
大学	北九大
大学	九産大
大学	九大
大学	法政大
法律  法学部
法律  法科大学院
農業  農工大
農業  東農大
工学  工大
大学	関西大
大学	筑波大
プログラミング	C言語
プログラミング	Java
プログラミング	Ruby
プログラミング	Python
プログラミング	JavaScript
プログラミング	C++
プログラミング	C+
プログラミング	Ruby on Rails
プログラミング	C#
プログラミング	Node.js
プログラミング	Objective-C
プログラミング	HTML5
プログラミング	HTML
